stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
ENSP00000230354	ENSP00000156825	TBP	MBD3	9606	0.9	0	0	0	0	0	0.9	0
ENSP00000230354	ENSP00000198767	TBP	RRN3	9606	0.968	0	0	0	0.054	0.326	0.9	0.566
ENSP00000230354	ENSP00000212015	TBP	SIRT1	9606	0.938	0	0	0	0.057	0	0.9	0.396
ENSP00000230354	ENSP00000215587	TBP	POLR2E	9606	0.995	0	0	0	0.097	0.899	0.9	0.517
ENSP00000230354	ENSP00000216294	TBP	SNAPC1	9606	0.983	0	0	0	0.054	0.324	0.9	0.769
ENSP00000230354	ENSP00000217893	TBP	TAF9	9606	0.998	0	0	0	0.094	0.946	0.9	0.705
ENSP00000230354	ENSP00000219252	TBP	POLR2C	9606	0.998	0	0	0.221	0.096	0.956	0.9	0.658
ENSP00000230354	ENSP00000220659	TBP	BRF2	9606	0.999	0	0	0	0.125	0.973	0.9	0.85
ENSP00000230354	ENSP00000221573	TBP	SNAPC2	9606	0.984	0	0	0	0	0.36	0.9	0.77
ENSP00000230354	ENSP00000221859	TBP	POLR2I	9606	0.994	0	0	0	0.056	0.899	0.9	0.513
ENSP00000230354	ENSP00000222567	TBP	TWISTNB	9606	0.917	0	0	0	0.084	0.095	0.9	0.123
ENSP00000230354	ENSP00000225396	TBP	TADA2A	9606	0.756	0	0	0	0.072	0.531	0	0.485
ENSP00000230354	ENSP00000225916	TBP	KAT2A	9606	0.99	0	0	0	0.072	0.534	0.9	0.796
ENSP00000230354	ENSP00000227163	TBP	SPI1	9606	0.976	0	0	0	0	0.36	0.9	0.662
ENSP00000230354	ENSP00000228347	TBP	POLR3B	9606	0.949	0	0	0	0.064	0.289	0.9	0.324
ENSP00000230354	ENSP00000237264	TBP	TBPL1	9606	0.886	0	0	0.051975	0.073	0.36	0.8	0.070686
ENSP00000230354	ENSP00000237853	TBP	ELL2	9606	0.914	0	0	0	0.053	0	0.9	0.171
ENSP00000230354	ENSP00000247161	TBP	ELK1	9606	0.802	0	0	0	0.053	0	0.8	0
ENSP00000230354	ENSP00000247219	TBP	TBPL2	9606	0.807	0	0	0.020553	0	0	0.8	0.021255
ENSP00000230354	ENSP00000247843	TBP	YEATS4	9606	0.702	0	0	0	0.055	0.603	0	0.271
ENSP00000230354	ENSP00000252674	TBP	MLLT1	9606	0.713	0	0	0	0.042	0.603	0	0.308
ENSP00000230354	ENSP00000252818	TBP	JUND	9606	0.766	0	0	0	0	0.45	0	0.591
ENSP00000230354	ENSP00000252996	TBP	TAF4	9606	0.998	0	0	0	0.09	0.922	0.9	0.779
ENSP00000230354	ENSP00000256379	TBP	MED6	9606	0.762	0	0	0	0.073	0.521	0	0.507
ENSP00000230354	ENSP00000256443	TBP	CDK7	9606	0.959	0	0	0	0.084	0	0.9	0.591
ENSP00000230354	ENSP00000256897	TBP	CCNH	9606	0.934	0	0	0	0.065	0	0.9	0.356
ENSP00000230354	ENSP00000258281	TBP	TAF5L	9606	0.793	0	0	0	0.058	0.688	0	0.354
ENSP00000230354	ENSP00000259806	TBP	FOXF2	9606	0.732	0	0	0	0.053	0.368	0	0.587
ENSP00000230354	ENSP00000259895	TBP	GTF2H4	9606	0.998	0	0	0	0.055	0.976	0.9	0.323
ENSP00000230354	ENSP00000261191	TBP	ASUN	9606	0.902	0	0	0	0.063	0	0.9	0
ENSP00000230354	ENSP00000261245	TBP	MNAT1	9606	0.928	0	0	0	0.07	0	0.9	0.289
ENSP00000230354	ENSP00000261520	TBP	NARG2	9606	0.912	0	0	0	0.069	0.136	0.9	0
ENSP00000230354	ENSP00000261900	TBP	CCNT1	9606	0.939	0	0	0	0.092	0	0.9	0.385
ENSP00000230354	ENSP00000262367	TBP	CREBBP	9606	0.831	0	0	0	0.06	0.602	0	0.584
ENSP00000230354	ENSP00000262809	TBP	ELL	9606	0.913	0	0	0	0.053	0	0.9	0.164
ENSP00000230354	ENSP00000262904	TBP	E2F3	9606	0.922	0	0	0	0.053	0.065	0.9	0.229
ENSP00000230354	ENSP00000263253	TBP	EP300	9606	0.986	0	0	0	0.06	0.602	0.9	0.682
ENSP00000230354	ENSP00000263331	TBP	POLR1B	9606	0.944	0	0	0	0.068	0.289	0.9	0.258
ENSP00000230354	ENSP00000263390	TBP	MED26	9606	0.763	0	0	0	0.056	0.451	0	0.58
ENSP00000230354	ENSP00000263663	TBP	TAF1B	9606	0.987	0	0	0	0.053	0.629	0.9	0.685
ENSP00000230354	ENSP00000263754	TBP	KAT2B	9606	0.991	0	0	0	0.072	0.534	0.9	0.825
ENSP00000230354	ENSP00000263857	TBP	POLR1A	9606	0.943	0	0	0	0.063	0.306	0.9	0.235
ENSP00000230354	ENSP00000263956	TBP	GTF3C3	9606	0.958	0	0	0	0.049	0.376	0.9	0.375
ENSP00000230354	ENSP00000263974	TBP	TAF12	9606	0.998	0	0	0	0.054	0.961	0.9	0.727
ENSP00000230354	ENSP00000264157	TBP	CCNT2	9606	0.917	0	0	0	0.092	0	0.9	0.169
ENSP00000230354	ENSP00000264720	TBP	GTF3C2	9606	0.942	0	0	0	0.054	0.359	0.9	0.166
ENSP00000230354	ENSP00000265354	TBP	SRF	9606	0.915	0	0	0	0.054	0.144	0.8	0.539
ENSP00000230354	ENSP00000265372	TBP	CREM	9606	0.752	0	0	0	0	0.36	0	0.628
ENSP00000230354	ENSP00000265773	TBP	SMARCA2	9606	0.934	0	0	0	0.072	0.818	0	0.642
ENSP00000230354	ENSP00000265963	TBP	GTF2H1	9606	0.952	0	0	0	0.056	0	0.9	0.54
ENSP00000230354	ENSP00000265990	TBP	BTAF1	9606	0.99	0	0	0	0.054	0.93	0	0.859
ENSP00000230354	ENSP00000267023	TBP	NABP2	9606	0.901	0	0	0	0.054	0	0.9	0.044
ENSP00000230354	ENSP00000267163	TBP	RB1	9606	0.961	0	0	0	0.053	0.285	0.9	0.505
ENSP00000230354	ENSP00000269142	TBP	TAF4B	9606	0.992	0	0	0	0.09	0.769	0.9	0.688
ENSP00000230354	ENSP00000269305	TBP	TP53	9606	0.986	0	0	0	0.047	0.36	0.9	0.799
ENSP00000230354	ENSP00000272645	TBP	POLR2D	9606	0.992	0	0	0	0.056	0.899	0.9	0.277
ENSP00000230354	ENSP00000274054	TBP	NAF1	9606	0.774	0	0	0	0	0.774	0	0
ENSP00000230354	ENSP00000274400	TBP	GTF2H2	9606	0.984	0	0	0	0.074	0.8	0.9	0.265
ENSP00000230354	ENSP00000274764	TBP	HIST1H2BA	9606	0.934	0	0	0	0.051	0.071	0.9	0.345
ENSP00000230354	ENSP00000276072	TBP	TAF1	9606	0.999	0	0	0	0.115	0.988	0.9	0.936
ENSP00000230354	ENSP00000278823	TBP	MTA2	9606	0.906	0	0	0	0.052	0	0.9	0.09
ENSP00000230354	ENSP00000283131	TBP	SMARCA5	9606	0.959	0	0	0	0.065	0.264	0.9	0.481
ENSP00000230354	ENSP00000283875	TBP	GTF2E1	9606	0.999	0	0	0	0.101	0.976	0.9	0.603
ENSP00000230354	ENSP00000285398	TBP	ERCC3	9606	0.989	0	0	0	0.074	0.521	0.9	0.791
ENSP00000230354	ENSP00000286317	TBP	MED7	9606	0.748	0	0	0	0.068	0.521	0	0.482
ENSP00000230354	ENSP00000288985	TBP	ERCC6L2	9606	0.849	0	0	0	0.052	0.706	0	0.503
ENSP00000230354	ENSP00000289316	TBP	HIST1H2BD	9606	0.928	0	0	0	0.051	0.071	0.9	0.284
ENSP00000230354	ENSP00000292614	TBP	POLR2J	9606	0.994	0	0	0	0.063	0.9	0.9	0.503
ENSP00000230354	ENSP00000293860	TBP	POLR3K	9606	0.943	0	0	0	0.072	0.197	0.9	0.326
ENSP00000230354	ENSP00000294168	TBP	TAF6L	9606	0.833	0	0	0	0.098	0.673	0	0.481
ENSP00000230354	ENSP00000296223	TBP	POLR2H	9606	0.969	0	0	0	0.051	0.521	0.9	0.407
ENSP00000230354	ENSP00000296417	TBP	H2AFZ	9606	0.971	0	0	0	0.055	0.292	0.9	0.625
ENSP00000230354	ENSP00000296564	TBP	KIAA0947	9606	0.901	0	0	0	0.052	0	0.9	0
ENSP00000230354	ENSP00000297540	TBP	PHAX	9606	0.909	0	0	0	0.124	0	0.9	0.052
ENSP00000230354	ENSP00000298532	TBP	SNAPC4	9606	0.97	0	0	0	0.055	0.36	0.9	0.566
ENSP00000230354	ENSP00000299424	TBP	TAF10	9606	0.999	0	0	0	0.055	0.971	0.9	0.826
ENSP00000230354	ENSP00000299853	TBP	POLR3E	9606	0.907	0	0	0	0.064	0	0.9	0.093
ENSP00000230354	ENSP00000301788	TBP	POLR2G	9606	0.994	0	0	0	0.096	0.899	0.9	0.49
ENSP00000230354	ENSP00000302478	TBP	POLR1D	9606	0.954	0	0	0	0.063	0.292	0.9	0.399
ENSP00000230354	ENSP00000302640	TBP	UBTF	9606	0.963	0	0	0	0.054	0.412	0.9	0.425
ENSP00000230354	ENSP00000303088	TBP	POLR3D	9606	0.933	0	0	0	0.055	0.093	0.9	0.312
ENSP00000230354	ENSP00000303408	TBP	HIST1H2BO	9606	0.928	0	0	0	0.051	0.071	0.9	0.284
ENSP00000230354	ENSP00000306245	TBP	FOS	9606	0.786	0	0	0	0.071	0.378	0	0.659
ENSP00000230354	ENSP00000307684	TBP	TADA3	9606	0.843	0	0	0	0.057	0.513	0	0.687
ENSP00000230354	ENSP00000307850	TBP	DRAP1	9606	0.982	0	0	0	0.067	0.954	0	0.616
ENSP00000230354	ENSP00000308022	TBP	TADA2B	9606	0.746	0	0	0	0.072	0.531	0	0.465
ENSP00000230354	ENSP00000308405	TBP	H2AFV	9606	0.96	0	0	0	0.055	0.292	0.9	0.482
ENSP00000230354	ENSP00000310260	TBP	INTS6	9606	0.903	0	0	0	0.073	0	0.9	0.046
ENSP00000230354	ENSP00000310966	TBP	CD3EAP	9606	0.933	0	0	0	0	0.349	0.9	0.056
ENSP00000230354	ENSP00000311493	TBP	ENSG00000068781	9606	0.924	0	0	0	0.089	0.834	0	0.538
ENSP00000230354	ENSP00000312709	TBP	TAF7	9606	0.999	0	0	0	0.084	0.981	0.9	0.696
ENSP00000230354	ENSP00000312735	TBP	POLR2B	9606	0.982	0	0	0	0.085	0.521	0.9	0.64
ENSP00000230354	ENSP00000312987	TBP	HNF4A	9606	0.759	0	0	0	0	0.329	0	0.655
ENSP00000230354	ENSP00000314491	TBP	SRRT	9606	0.904	0	0	0	0.056	0	0.9	0.065
ENSP00000230354	ENSP00000314949	TBP	POLR2A	9606	0.998	0	0	0	0.078	0.906	0.9	0.848
ENSP00000230354	ENSP00000314971	TBP	TAF1D	9606	0.985	0	0	0	0	0.774	0.9	0.424
ENSP00000230354	ENSP00000318641	TBP	INTS3	9606	0.905	0	0	0	0.096	0	0.9	0
ENSP00000230354	ENSP00000319597	TBP	SNAPC5	9606	0.94	0	0	0	0	0	0.9	0.425
ENSP00000230354	ENSP00000320346	TBP	ELL3	9606	0.906	0	0	0	0.053	0	0.9	0.091
ENSP00000230354	ENSP00000321389	TBP	HIST1H2AC	9606	0.93	0	0	0	0	0.128	0.9	0.265
ENSP00000230354	ENSP00000324124	TBP	POLR2L	9606	0.928	0	0	0	0.066	0	0.9	0.298
ENSP00000230354	ENSP00000324806	TBP	GSK3B	9606	0.921	0	0	0	0.054	0	0.9	0.237
ENSP00000230354	ENSP00000326379	TBP	VWA9	9606	0.903	0	0	0	0.072	0	0.9	0
ENSP00000230354	ENSP00000326806	TBP	NCBP2	9606	0.904	0	0	0	0.062	0	0.9	0.058
ENSP00000230354	ENSP00000327072	TBP	TAF1A	9606	0.996	0	0	0	0.047	0.779	0.9	0.834
ENSP00000230354	ENSP00000327889	TBP	INTS5	9606	0.902	0	0	0	0.067	0	0.9	0
ENSP00000230354	ENSP00000328484	TBP	HIST1H2AJ	9606	0.93	0	0	0	0	0.128	0.9	0.265
ENSP00000230354	ENSP00000329357	TBP	SP1	9606	0.97	0	0	0	0.053	0.404	0.9	0.537
ENSP00000230354	ENSP00000331111	TBP	ZNRD1	9606	0.935	0	0	0	0.054	0.197	0.9	0.254
ENSP00000230354	ENSP00000332194	TBP	HIST2H2AC	9606	0.947	0	0	0	0	0.128	0.9	0.446
ENSP00000230354	ENSP00000333633	TBP	MTA1	9606	0.907	0	0	0	0.043	0	0.9	0.112
ENSP00000230354	ENSP00000333920	TBP	TTF1	9606	0.921	0	0	0	0.055	0	0.9	0.233
ENSP00000230354	ENSP00000334564	TBP	POLR3C	9606	0.945	0	0	0	0.1	0.325	0.9	0.209
ENSP00000230354	ENSP00000334675	TBP	ERCC6L	9606	0.849	0	0	0	0.052	0.706	0	0.503
ENSP00000230354	ENSP00000335321	TBP	SF3B1	9606	0.905	0	0	0	0.054	0	0.9	0.077
ENSP00000230354	ENSP00000337432	TBP	IL17F	9606	0.775	0	0	0	0	0.774	0	0.045
ENSP00000230354	ENSP00000337746	TBP	ISYNA1	9606	0.71	0	0	0	0	0	0	0.71
ENSP00000230354	ENSP00000339917	TBP	TAF9B	9606	0.995	0	0	0	0.094	0.843	0.9	0.735
ENSP00000230354	ENSP00000340271	TBP	TAF3	9606	0.988	0	0	0	0.053	0.804	0.9	0.447
ENSP00000230354	ENSP00000340737	TBP	INTS12	9606	0.903	0	0	0	0.072	0	0.9	0
ENSP00000230354	ENSP00000340823	TBP	GTF2F2	9606	0.997	0	0	0	0.087	0.918	0.9	0.696
ENSP00000230354	ENSP00000340879	TBP	RAD1	9606	0.8	0	0	0	0.054	0.796	0	0.048
ENSP00000230354	ENSP00000341094	TBP	HIST1H2AD	9606	0.93	0	0	0	0	0.128	0.9	0.265
ENSP00000230354	ENSP00000342434	TBP	BAZ1B	9606	0.949	0	0	0	0.074	0.404	0.9	0.2
ENSP00000230354	ENSP00000342886	TBP	HIST1H2BJ	9606	0.932	0	0	0	0.095	0.076	0.9	0.284
ENSP00000230354	ENSP00000342889	TBP	POLR2K	9606	0.972	0	0	0	0.053	0.521	0.9	0.455
ENSP00000230354	ENSP00000343515	TBP	TCEA2	9606	0.834	0	0	0	0.054	0.527	0	0.66
ENSP00000230354	ENSP00000345571	TBP	E2F1	9606	0.945	0	0	0	0.053	0.376	0.9	0.188
ENSP00000230354	ENSP00000346120	TBP	DDX21	9606	0.909	0	0	0	0.057	0.063	0.9	0.098
ENSP00000230354	ENSP00000346450	TBP	H2AFB1	9606	0.917	0	0	0	0	0.128	0.9	0.128
ENSP00000230354	ENSP00000347168	TBP	HIST1H4J	9606	0.776	0	0	0	0.05	0.054	0	0.771
ENSP00000230354	ENSP00000347345	TBP	POLR3H	9606	0.933	0	0	0	0.053	0.295	0.9	0.125
ENSP00000230354	ENSP00000347733	TBP	TRRAP	9606	0.763	0	0	0	0.046	0.521	0	0.523
ENSP00000230354	ENSP00000348089	TBP	ERCC6	9606	0.986	0	0	0	0.052	0.706	0.9	0.579
