stringId	preferredName
ENSP00000363512	ALOX5
ENSP00000263246	PACSIN2
ENSP00000445508	CNOT4
ENSP00000423630	FBXL7
ENSP00000394394	ANAPC7
ENSP00000355890	EPRS
ENSP00000298838	PACSIN3
ENSP00000350928	GAD1
ENSP00000247977	FBXL12
ENSP00000298532	SNAPC4
ENSP00000360777	INPP5E
ENSP00000292363	RNF126
ENSP00000361219	GTF3C4
ENSP00000366828	POLR3F
ENSP00000310219	HSPA6
ENSP00000305372	ADRB2
ENSP00000261951	CNOT6
ENSP00000317379	GLS
ENSP00000294168	TAF6L
ENSP00000355014	PJA1
ENSP00000265164	CASP6
ENSP00000348205	ATP5G1
ENSP00000346827	ALDH9A1
ENSP00000401878	KBTBD8
ENSP00000356438	PTGS2
ENSP00000217901	IDH3G
ENSP00000430237	RNF130
ENSP00000386456	AAK1
ENSP00000284811	TCEB1
ENSP00000273550	FTH1
ENSP00000295050	SPRTN
ENSP00000308472	EIF4EBP3
ENSP00000224862	FBXL15
ENSP00000438144	MDH1
ENSP00000365745	CTTN
ENSP00000301730	RNPS1
ENSP00000382840	DDX3X
ENSP00000370671	KLHDC5
ENSP00000306124	PRKCE
ENSP00000375736	HIST3H2BB
ENSP00000353408	MSN
ENSP00000310841	FBXO31
ENSP00000303709	UBE2E1
ENSP00000261368	SNCAIP
ENSP00000227163	SPI1
ENSP00000357644	GATAD2B
ENSP00000450353	ENSG00000257767
ENSP00000286186	CASP10
ENSP00000306245	FOS
ENSP00000358708	SNAP91
ENSP00000328789	AP1S2
ENSP00000341885	RPS2
ENSP00000346001	RPL3
ENSP00000281589	PABPC3
ENSP00000428205	FBXO32
ENSP00000348901	PLD3
ENSP00000295266	PDHA2
ENSP00000198767	RRN3
ENSP00000346120	DDX21
ENSP00000355051	TAF13
ENSP00000171111	KEAP1
ENSP00000283875	GTF2E1
ENSP00000370532	GTF3A
ENSP00000309198	UBE3C
ENSP00000270066	SMG9
ENSP00000222567	TWISTNB
ENSP00000361423	ABL1
ENSP00000263238	ACTR3
ENSP00000401450	RPL28
ENSP00000358953	CUEDC2
ENSP00000216554	EIF5
ENSP00000259939	RNF144B
ENSP00000264634	WNT5A
ENSP00000386532	ASB18
ENSP00000354621	SMURF1
ENSP00000417980	EHMT1
ENSP00000256658	AP4B1
ENSP00000387123	ALDH7A1
ENSP00000430548	PTDSS1
ENSP00000429065	INTS9
ENSP00000217244	CSNK2A1
ENSP00000298068	HECTD2
ENSP00000362361	CDK9
ENSP00000388566	CASP4
ENSP00000362010	ANXA7
ENSP00000285896	CNOT8
ENSP00000262809	ELL
ENSP00000374455	SQSTM1
ENSP00000402935	TBC1D5
ENSP00000388723	KBTBD13
ENSP00000368799	KBTBD6
ENSP00000296464	HSPA4L
ENSP00000328484	HIST1H2AJ
ENSP00000323036	ACPP
ENSP00000229416	GCLC
ENSP00000294189	RPL29
ENSP00000378624	HERC4
ENSP00000359368	RPAP2
ENSP00000341094	HIST1H2AD
ENSP00000338814	BAG5
ENSP00000354201	UBE2Z
ENSP00000366563	PIK3CD
ENSP00000336800	KLHL25
ENSP00000256637	SORT1
ENSP00000257430	APC
ENSP00000345774	ALDH3A2
ENSP00000264606	HDAC4
ENSP00000361990	UBR2
ENSP00000264380	PIKFYVE
ENSP00000349955	RPRD1A
ENSP00000313391	DAB2
ENSP00000354829	SGMS1
ENSP00000358327	CASP7
ENSP00000346829	WLS
ENSP00000348602	AMPH
ENSP00000321388	ASB4
ENSP00000259469	RPL35
ENSP00000310686	FBXW8
ENSP00000216264	CERK
ENSP00000386165	CEBPD
ENSP00000212015	SIRT1
ENSP00000308022	TADA2B
ENSP00000411825	PDCD6IP
ENSP00000298288	LRR1
ENSP00000428646	FBXO41
ENSP00000256897	CCNH
ENSP00000384869	CLHC1
ENSP00000349541	PTRF
ENSP00000325485	CERS5
ENSP00000346012	RPL36AL
ENSP00000398495	DIABLO
ENSP00000403852	POLR2F
ENSP00000359211	DPYD
ENSP00000293404	NAGS
ENSP00000263354	NAPA
ENSP00000402515	SMG1
ENSP00000351214	TOMM7
ENSP00000368438	PCNA
ENSP00000393840	BLOC1S3
ENSP00000215832	MAPK1
ENSP00000229971	FBXL4
ENSP00000311648	UGT8
ENSP00000349298	MYLIP
ENSP00000296674	RPS23
ENSP00000435096	RPS25
ENSP00000274289	PLK2
ENSP00000371138	FKBP1A
ENSP00000306382	MYO1B
ENSP00000399982	TAF6
ENSP00000348714	KIAA0317
ENSP00000261520	NARG2
ENSP00000348258	HIST1H4L
ENSP00000203001	TRMT6
ENSP00000312042	HDLBP
ENSP00000228825	ARPC3
ENSP00000393324	EIF4E3
ENSP00000216727	PABPN1
ENSP00000398131	GSPT1
ENSP00000338072	AVPR2
ENSP00000263270	AP2S1
ENSP00000337825	LCK
ENSP00000358563	DKC1
ENSP00000364898	SYK
ENSP00000366927	ALDH1B1
ENSP00000325548	CNDP2
ENSP00000311609	SPSB4
ENSP00000263663	TAF1B
ENSP00000307889	RPL13
ENSP00000378736	CRCP
ENSP00000248975	YWHAH
ENSP00000366581	HIST1H4B
ENSP00000286788	CCT8
ENSP00000341680	DTNBP1
ENSP00000349781	TBC1D8B
ENSP00000413234	AP2A2
ENSP00000362618	PABPC1L2A
ENSP00000319240	MAGOHB
ENSP00000354612	PTGS1
ENSP00000418428	CHCHD10
ENSP00000385834	TF
ENSP00000269886	SH3GL1
ENSP00000262890	PAFAH1B3
ENSP00000325074	PPP2R2A
