ENSP00000291700	S100B	Protein S100-B (S-100 protein beta chain) (S-100 protein subunit beta) (S100 calcium-binding protein B)	S100B	P04271
ENSP00000295050	SPRTN	SprT-like domain-containing protein Spartan (DNA damage protein targeting VCP) (DVC1) (Protein with SprT-like domain at the N terminus) (Spartan)	SPRTN C1orf124 DVC1 UNQ1880/PRO4323	Q9H040
ENSP00000264157	CCNT2	Cyclin-T2 (CycT2)	CCNT2	O60583
ENSP00000341289	TUBB4B	Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain)	TUBB4B TUBB2C	P68371
ENSP00000352175	SNX11	Sorting nexin-11	SNX11	Q9Y5W9
ENSP00000366618	HIST1H2BL	Histone H2B type 1-L (Histone H2B.c) (H2B/c)	HIST1H2BL H2BFC	Q99880
ENSP00000361990	UBR2	E3 ubiquitin-protein ligase UBR2 (EC 2.3.2.27) (N-recognin-2) (RING-type E3 ubiquitin transferase UBR2) (Ubiquitin-protein ligase E3-alpha-2) (Ubiquitin-protein ligase E3-alpha-II)	UBR2 C6orf133 KIAA0349	Q8IWV8
ENSP00000385045	MTA3	Metastasis-associated protein MTA3	MTA3 KIAA1266	Q9BTC8
ENSP00000332656	ENPP7	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7 (E-NPP 7) (NPP-7) (EC 3.1.4.12) (Alkaline sphingomyelin phosphodiesterase) (Intestinal alkaline sphingomyelinase) (Alk-SMase)	ENPP7 UNQ3077/PRO9912	Q6UWV6
ENSP00000383199	NEDD4L	E3 ubiquitin-protein ligase NEDD4-like (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NED4L) (NEDD4.2) (Nedd4-2)	NEDD4L KIAA0439 NEDL3	Q96PU5
ENSP00000264065	DNAJC10	DnaJ homolog subfamily C member 10 (EC 1.8.4.-) (Endoplasmic reticulum DNA J domain-containing protein 5) (ER-resident protein ERdj5) (ERdj5) (Macrothioredoxin) (MTHr)	DNAJC10 ERDJ5 UNQ495/PRO1012	Q8IXB1
ENSP00000333920	TTF1	Transcription termination factor 1 (TTF-1) (RNA polymerase I termination factor) (Transcription termination factor I) (TTF-I)	TTF1	Q15361
ENSP00000302913	SH3D19	SH3 domain-containing protein 19 (ADAM-binding protein Eve-1) (EEN-binding protein) (EBP)	SH3D19	Q5HYK7
ENSP00000351552	GATAD2A	Transcriptional repressor p66-alpha (Hp66alpha) (GATA zinc finger domain-containing protein 2A)	GATAD2A	Q86YP4
ENSP00000351490	MAX	Protein max (Class D basic helix-loop-helix protein 4) (bHLHd4) (Myc-associated factor X)	MAX BHLHD4	P61244
ENSP00000392812	PIK3R5	Phosphoinositide 3-kinase regulatory subunit 5 (PI3-kinase regulatory subunit 5) (PI3-kinase p101 subunit) (Phosphatidylinositol 4,5-bisphosphate 3-kinase regulatory subunit) (PtdIns-3-kinase regulatory subunit) (Protein FOAP-2) (PtdIns-3-kinase p101) (p101-PI3K)	PIK3R5	Q8WYR1
ENSP00000370719	ITSN1	Intersectin-1 (SH3 domain-containing protein 1A) (SH3P17)	ITSN1 ITSN SH3D1A	Q15811
ENSP00000366927	ALDH1B1	Aldehyde dehydrogenase X, mitochondrial (EC 1.2.1.3) (Aldehyde dehydrogenase 5) (Aldehyde dehydrogenase family 1 member B1)	ALDH1B1 ALDH5 ALDHX	P30837
ENSP00000325919	PSMG2	Proteasome assembly chaperone 2 (PAC-2) (Hepatocellular carcinoma-susceptibility protein 3) (Tumor necrosis factor superfamily member 5-induced protein 1)	PSMG2 HCCA3 PAC2 TNFSF5IP1	Q969U7
ENSP00000284551	TRIM11	E3 ubiquitin-protein ligase TRIM11 (EC 2.3.2.27) (Protein BIA1) (RING finger protein 92) (RING-type E3 ubiquitin transferase TRIM11) (Tripartite motif-containing protein 11)	TRIM11 RNF92	Q96F44
ENSP00000375809	ERCC2	General transcription and DNA repair factor IIH helicase subunit XPD (TFIIH subunit XPD) (EC 3.6.4.12) (Basic transcription factor 2 80 kDa subunit) (BTF2 p80) (CXPD) (DNA excision repair protein ERCC-2) (DNA repair protein complementing XP-D cells) (TFIIH basal transcription factor complex 80 kDa subunit) (TFIIH 80 kDa subunit) (TFIIH p80) (Xeroderma pigmentosum group D-complementing protein)	ERCC2 XPD XPDC	P18074
ENSP00000362621	PABPC1L2B	Polyadenylate-binding protein 1-like 2 (RNA-binding motif protein 32) (RNA-binding protein 32)	PABPC1L2A PABPC1L2 RBM32A; PABPC1L2B PABPC1L2 RBM32B	Q5JQF8
ENSP00000265354	SRF	Serum response factor (SRF)	SRF	P11831
ENSP00000264606	HDAC4	Histone deacetylase 4 (HD4) (EC 3.5.1.98)	HDAC4 KIAA0288	P56524
